"Gene_symbol"	"score_df_2"	"n_cor"	"is_deg"	"Ssec_norm"	"X"
"kitlga"	0.918079023	0	FALSE	0.900216929648906	NA
"rbp4"	0.916087306	0	FALSE	0.898263963381786	NA
"tgm2b"	0.915478892	0	FALSE	0.89766738665003	NA
"creg2"	0.914108063	0	FALSE	0.89632322842123	NA
"nid1a"	0.913058973	0	FALSE	0.895294549456712	NA
"itih3a.1"	0.912749011	0	FALSE	0.894990618059787	NA
"lama5"	0.910832717	0	FALSE	0.893111607367061	NA
"hspg2"	0.910479361	0	FALSE	0.892765126241337	NA
"tgm8_ChrAur2"	0.909535327	0	FALSE	0.891839459313247	NA
"hapln1a"	0.906467523	0	FALSE	0.888831342333708	NA
"igfbp2a"	0.90626104	0	FALSE	0.888628876655233	NA
"c7b"	0.906149483	0	FALSE	0.888519490101892	NA
"thpo_ChrAur1"	0.906017164	0	FALSE	0.888389745492844	NA
"adamts15a_ChrAur2"	0.905976415	0	FALSE	0.888349789303075	NA
"col5a1_ChrAur2"	0.905699937	0	FALSE	0.888078690443347	NA
"plat"	0.905617945	0	FALSE	0.887998293675044	NA
"fgfbp1a"	0.904932226	0	FALSE	0.887325915984979	NA
"net1_ChrAur2"	0.904125569	0	FALSE	0.886534953257776	NA
"paplnb"	0.904009731	0	FALSE	0.886421368995328	NA
"ache"	0.903699752	0	FALSE	0.886117420929154	NA
"prl"	0.902459726	0	FALSE	0.884901520804613	NA
"rnaset2"	0.901713133	0	FALSE	0.884169453475636	NA
"timp2a"	0.900950923	0	FALSE	0.883422072990124	NA
"col1a1b"	0.897551224	0	FALSE	0.880088518340863	NA
"col4a5_ChrAur1"	0.896472853	0	FALSE	0.879031128065819	NA
"prf1.5"	0.896416942	0	FALSE	0.878976304867061	NA
"nid2a"	0.894974658	0	FALSE	0.877562081862685	NA
"ntn1b"	0.894717699	0	FALSE	0.877310122242401	NA
"cbln2b"	0.892897745	0	FALSE	0.875525577164104	NA
"fgf8a"	0.892511981	0	FALSE	0.875147318566588	NA
"ogna"	0.892450077	0	FALSE	0.875086618967297	NA
"adamtsl5"	0.892366451	0	FALSE	0.875004619990006	NA
"clec11a"	0.892314502	0	FALSE	0.874953681706801	NA
"pcsk9"	0.888914969	0	FALSE	0.871620289827853	NA
"scube3"	0.886551851	1	FALSE	0.869303148517504	NA
"spx"	0.88619955	0	FALSE	0.86895770186576	NA
"col1a2"	0.885967527	0	FALSE	0.868730193092076	NA
"arsk"	0.885312674	0	FALSE	0.868088080874867	NA
"ucmaa"	0.885248903	0	FALSE	0.868025550599823	NA
"mmrn2a_ChrAur2"	0.883873734	0	FALSE	0.866677136809817	NA
"col1a1a"	0.883760098	0	FALSE	0.866565711705381	NA
"psap"	0.883592279	0	FALSE	0.866401157782318	NA
"lama1"	0.882552045	0	FALSE	0.865381162515967	NA
"myoc_ChrAur2"	0.881518288	0	FALSE	0.864367518233471	NA
"spon1a_ChrAur2"	0.880745284	0	FALSE	0.863609553755411	NA
"scg3"	0.87991207	0	FALSE	0.862792550719693	NA
"vwc2l"	0.879727365	0	FALSE	0.862611439329687	NA
"vtna"	0.878433376	0	FALSE	0.861342626106209	NA
"spock2_ChrAur2"	0.877516009	0	FALSE	0.860443107346481	NA
"sftpba"	0.87741093	0	FALSE	0.86034007275754	NA
"draxina_ChrAur1"	0.876900183	0	FALSE	0.859839262822176	NA
"bpifcl"	0.876751388	1	FALSE	0.859693362769249	NA
"col15a1b"	0.876721968	0	FALSE	0.859664515163099	NA
"ngrn"	0.875118967	1	FALSE	0.858092702059551	NA
"adamts15a_ChrAur1"	0.874619052	0	FALSE	0.85760251337741	NA
"fbln5"	0.874483795	0	FALSE	0.857469887929923	NA
"igf1"	0.872932566	0	FALSE	0.855948839553282	NA
"pthlha"	0.872738368	0	FALSE	0.855758419858545	NA
"fgf11a"	0.872695783	0	FALSE	0.855716663389887	NA
"nampt2"	0.872127941	0	FALSE	0.855159869291603	NA
"cd74b"	0.870639661	0	FALSE	0.853700545182791	NA
"st3gal8"	0.870240328	0	FALSE	0.853308981582969	NA
"fgfbp3"	0.869981956	0	FALSE	0.853055636453933	NA
"gas6"	0.869892499	0	FALSE	0.852967919924246	NA
"fgf16"	0.869363016	0	FALSE	0.852448738515435	NA
"col5a1_ChrAur1"	0.868929052	0	FALSE	0.852023217694382	NA
"vip"	0.867819867	0	FALSE	0.850935612934772	NA
"fndc4a"	0.867166909	0	FALSE	0.850295358848551	NA
"tnfrsf1b"	0.865213995	0	FALSE	0.848380440632466	NA
"gldn"	0.864815021	0	FALSE	0.84798922904796	NA
"ptn"	0.86289151	0	FALSE	0.846103141768776	NA
"vwc2"	0.86234276	0	FALSE	0.845565068217623	NA
"htra1a"	0.862011528	0	FALSE	0.84524028064861	NA
"c1ql4a_ChrAur1"	0.860601162	0	FALSE	0.843857354649438	NA
"ccl36.1_ChrAur1"	0.85981639	0	FALSE	0.843087851128918	NA
"lama2"	0.858450327	0	FALSE	0.841748366173093	NA
"galnt1"	0.857613152	0	FALSE	0.840927479202365	NA
"col8a2_ChrAur1"	0.857573288	0	FALSE	0.840888390794086	NA
"sfrp5"	0.85665354	0	FALSE	0.839986537358959	NA
"smtla"	0.856477941	2	FALSE	0.839814354803134	NA
"chrd"	0.856284777	0	FALSE	0.839624948990952	NA
"matn3a_ChrAur2"	0.856046674	0	FALSE	0.839391478509403	NA
"endouc"	0.853744031	0	FALSE	0.837133635600887	NA
"pdgfc"	0.852969041	0	FALSE	0.83637372376233	NA
"fetub"	0.852928375	0	FALSE	0.836333848957717	NA
"qsox1"	0.852669349	0	FALSE	0.836079862552868	NA
"loxl3b"	0.852057978	0	FALSE	0.835480386352336	NA
"c1qtnf12"	0.847771571	0	FALSE	0.831277375443584	NA
"lamb2"	0.846036475	0	FALSE	0.829576037372856	NA
"tnfsf13b"	0.843613761	0	FALSE	0.8272004595589	NA
"tnca"	0.841035966	0	FALSE	0.824672817992076	NA
"grp"	0.840894754	0	FALSE	0.824534353404731	NA
"dag1_ChrAur2"	0.839432079	0	FALSE	0.823100136126493	NA
"npc2.1"	0.838831189	0	FALSE	0.82251093700822	NA
"inhbaa_ChrAur2"	0.838737807	0	FALSE	0.822419371843111	NA
"clu"	0.836086135	0	FALSE	0.819819290623004	NA
"nmbb"	0.832875367	0	FALSE	0.816670991142933	NA
"reln"	0.831624506	0	FALSE	0.815444466823536	NA
"apoa1a"	0.831621645	0	FALSE	0.81544166148699	NA
"ca6"	0.831530623	0	FALSE	0.815352410405855	NA
"fgf14_ChrAur1"	0.831036059	0	FALSE	0.814867468614962	NA
"coch"	0.830763073	0	FALSE	0.81459979381508	NA
"clcf1"	0.830404519	0	FALSE	0.814248215821348	NA
"st3gal1l3"	0.826604879	0	FALSE	0.810522501401478	NA
"col22a1"	0.819491513	0	FALSE	0.80354753264654	NA
"sparcl1"	0.817592661	0	FALSE	0.801685624603253	NA
"cartl"	0.817332488	1	FALSE	0.80143051351437	NA
"asip2b"	0.808652583	0	FALSE	0.792919484253282	NA
"prf1.8"	0.804233165	0	FALSE	0.788586050198995	NA
"dkk1a"	0.80284389	0	FALSE	0.787223804854524	NA
"smpdl3a"	0.802712207	0	FALSE	0.787094683871496	NA
"fgl1"	0.801547589	0	FALSE	0.785952724613187	NA
"adamts5"	0.801226173	0	FALSE	0.785637562064636	NA
"itih5"	0.797903014	0	FALSE	0.782379058257481	NA
"sema3ab"	0.796512995	0	FALSE	0.781016083388232	NA
"col11a1b"	0.795174921	0	FALSE	0.779704042880012	NA
"fgf20b"	0.793431261	0	FALSE	0.777994307429982	NA
"dao.2"	0.785959153	0	FALSE	0.77066757633903	NA
"apoeb_ChrAur1"	0.784922795	0	FALSE	0.769651381661443	NA
"smoc1"	0.784502031	0	FALSE	0.76923880402194	NA
"adamtsl2"	0.779752258	0	FALSE	0.764581442335778	NA
"lama4"	0.772456386	0	FALSE	0.757427518407215	NA
"nxpe3_ChrAur1"	0.771371199	0	FALSE	0.756363444743879	NA
"dkk3b"	0.763459193	0	FALSE	0.748605374283442	NA
"cart4"	0	0	FALSE	0	NA
"cbln18_ChrAur2"	0	0	FALSE	0	NA
"cbln20_ChrAur1"	0	0	FALSE	0	NA
"cbln20_ChrAur2"	0	0	FALSE	0	NA
"gdf15"	0	0	FALSE	0	NA
