"Gene_symbol"	"score_df_1"	"n_cor"	"is_deg"	"Ssec_norm"	"X"
"lgi1b_ChrAur1"	0.978227514	0	FALSE	0.959195175022708	NA
"rbp4"	0.97607675	0	FALSE	0.957086256164991	NA
"ifi30b"	0.975190586	0	FALSE	0.956217333321467	NA
"c1qtnf5"	0.974892026	0	FALSE	0.955924582087877	NA
"farp1_ChrAur2"	0.972444819	0	FALSE	0.953524987808338	NA
"smpd1"	0.972221549	0	FALSE	0.953306061736783	NA
"b3gat1a_ChrAur2"	0.971307644	0	FALSE	0.95240993762058	NA
"col4a5_ChrAur1"	0.97080762	0	FALSE	0.951919642059137	NA
"tgfb3_ChrAur1"	0.969365283	0	FALSE	0.950505367085926	NA
"bdnf"	0.969279657	0	FALSE	0.95042140702052	NA
"f8"	0.96648024	0	FALSE	0.947676455318746	NA
"lamb2l"	0.965353199	0	FALSE	0.946571341964459	NA
"matn3a_ChrAur2"	0.964159486	0	FALSE	0.945400853776818	NA
"si:dkey-225n22.4"	0.963807197	0	FALSE	0.945055418891603	NA
"cpamd8"	0.959920411	0	FALSE	0.941244253979361	NA
"bmp7b"	0.958793414	0	FALSE	0.940139183769012	NA
"lamc1"	0.956736396	0	FALSE	0.938122186994441	NA
"bag6"	0.955807738	0	FALSE	0.937211596911768	NA
"plaub"	0.955183051	0	FALSE	0.936599063786576	NA
"mgat4a"	0.954743617	0	FALSE	0.936168179389533	NA
"prg4b"	0.954737315	0	FALSE	0.936162000000887	NA
"adamts1"	0.952825237	0	FALSE	0.934287123281904	NA
"c1qtnf6b"	0.952058028	0	FALSE	0.933534841056653	NA
"ache"	0.951591482	0	FALSE	0.933077372149143	NA
"fgf22"	0.950142119	0	FALSE	0.931656207873389	NA
"adamts6"	0.94984186	0	FALSE	0.931361790695447	NA
"igfbp2a"	0.949315076	0	FALSE	0.930845255775044	NA
"fgf24"	0.94804951	1	FALSE	0.929604312555293	NA
"col9a3"	0.94731022	0	FALSE	0.928879406139562	NA
"habp2_ChrAur3"	0.947216074	0	FALSE	0.928787091838794	NA
"ccn4a"	0.947063776	0	FALSE	0.928637756940035	NA
"ogna"	0.946798383	0	FALSE	0.928377527411177	NA
"enpp2"	0.945732274	0	FALSE	0.927332160567357	NA
"ntn1a"	0.945561042	0	FALSE	0.927164260047428	NA
"col11a1a_ChrAur2"	0.945212308	0	FALSE	0.926822310996333	NA
"tmem98"	0.944390661	0	FALSE	0.92601664991372	NA
"adamts15a_ChrAur1"	0.942214897	0	FALSE	0.923883217454583	NA
"myoc_ChrAur2"	0.941204128	0	FALSE	0.922892113918865	NA
"olfm2a"	0.940236652	0	FALSE	0.921943461076996	NA
"stc2a"	0.940065602	0	FALSE	0.921775739016085	NA
"hapln4"	0.939804426	0	FALSE	0.921519644441514	NA
"apoa1a"	0.938871947	0	TRUE	0.9206053077	NA
"nxph4"	0.938477298	0	FALSE	0.920218336968539	NA
"bmper"	0.938466493	0	FALSE	0.920207742190006	NA
"adamts12"	0.936773012	1	FALSE	0.918547209460201	NA
"c1qa"	0.936315677	0	FALSE	0.918098772343998	NA
"gal"	0.936121982	0	FALSE	0.917908845862921	NA
"sema3d"	0.934788748	0	FALSE	0.916601551187936	NA
"ptn"	0.934616066	0	FALSE	0.916432228879125	NA
"fbln1"	0.933356174	0	FALSE	0.915196849266351	NA
"mmp2"	0.931803438	1	FALSE	0.913674323209817	NA
"myoc_ChrAur1"	0.931744183	0	FALSE	0.913616221071733	NA
"bmp2b"	0.929822554	0	FALSE	0.911731979176464	NA
"qpct"	0.928882367	0	FALSE	0.91081008440136	NA
"c7b"	0.926825007	0	FALSE	0.908792752280722	NA
"angptl3_ChrAur1"	0.926765414	0	FALSE	0.908734318718746	NA
"tfpia"	0.925586707	0	FALSE	0.907578544575222	NA
"adamts15a_ChrAur2"	0.925504951	0	FALSE	0.907498379215316	NA
"creg1"	0.924832645	0	FALSE	0.906839153562685	NA
"lama1"	0.92477275	0	FALSE	0.906780423876405	NA
"paplna"	0.924754807	0	FALSE	0.906762829974394	NA
"bglapl"	0.924703928	0	FALSE	0.906712940873329	NA
"ghra"	0.924530067	0	FALSE	0.906542462503075	NA
"fbn2b"	0.92408966	0	FALSE	0.906110624036665	NA
"paplnb"	0.921463261	0	FALSE	0.903535324106505	NA
"tnfsf10l"	0.920360335	0	FALSE	0.902453856572147	NA
"eys"	0.919772598	0	FALSE	0.901877554549852	NA
"tgm2a"	0.919195741	0	FALSE	0.901311920846895	NA
"vtna"	0.916601855	0	FALSE	0.898768501345654	NA
"fam3c"	0.91560791	0	FALSE	0.897793894483146	NA
"col12a1b"	0.915420508	0	TRUE	0.897610138565819	NA
"ltbp4"	0.914444755	0	FALSE	0.896653369760792	NA
"cbln2b"	0.914342122	4	FALSE	0.896552733582614	NA
"c1ql2_ChrAur2"	0.913861724	0	FALSE	0.896081682178829	NA
"wnt6b"	0.913840324	0	FALSE	0.896060698536014	NA
"igf1"	0.913295707	0	FALSE	0.895526677573448	NA
"adamts18"	0.913232674	0	FALSE	0.895464870939917	NA
"spock1"	0.912972792	0	FALSE	0.895210045189355	NA
