"Gene_symbol"	"score_df_2"	"n_cor"	"is_deg"	"Ssec_norm"	"X"
"calub"	1.002939806	0	FALSE	0.91538200711653	NA
"tnfsf10_ChrAur2"	1.000262002	0	FALSE	0.912937978486376	NA
"bgnb"	0.998283364	0	FALSE	0.911132077860076	NA
"npy"	0.988693128	0	FALSE	0.902379080495844	NA
"galnt1"	0.985591992	0	FALSE	0.899548677236308	NA
"igfbp5b"	0.983650169	0	FALSE	0.897776377618154	NA
"apodb"	0.977874757	0	FALSE	0.892505165730005	NA
"ybx1"	0.974550209	0	FALSE	0.88947085459509	NA
"sema3ab"	0.971967365	0	FALSE	0.887113495847691	NA
"fgf14_ChrAur2"	0.969012386	0	FALSE	0.88441648991391	NA
"edn1"	0.96738554	0	FALSE	0.882931669441295	NA
"lamc2"	0.964515713	1	FALSE	0.880312381639952	NA
"meltf"	0.960617361	0	FALSE	0.876754360254362	NA
"lgi2a"	0.960452108	0	FALSE	0.876603534031376	NA
"hpxb"	0.959908574	0	FALSE	0.876107451174877	NA
"map4l"	0.954772742	0	FALSE	0.871419983216932	NA
"rnaset2"	0.953538963	0	FALSE	0.870293914543018	NA
"f8"	0.948587191	0	FALSE	0.865774437935322	NA
"fgf11a"	0.948268797	0	FALSE	0.865483840097815	NA
"cfbl_ChrAur2"	0.946465772	0	FALSE	0.863838221254582	NA
"penka"	0.946310359	0	FALSE	0.863696375988275	NA
"ace2"	0.944822302	0	FALSE	0.862338228076292	NA
"timp2a"	0.94371953	0	FALSE	0.861331729340563	NA
"olfml2ba"	0.943680501	0	FALSE	0.861296107617163	NA
"ntn4_ChrAur1"	0.943321102	0	FALSE	0.860968084563329	NA
"hyal1"	0.937375425	0	FALSE	0.85554147200556	NA
"adamts6"	0.936334473	0	FALSE	0.85459139631271	NA
"adamts18"	0.934490205	0	FALSE	0.852908135030825	NA
"farp1_ChrAur1"	0.933800516	0	FALSE	0.852278656673969	NA
"si:dkey-225n22.4"	0.93174132	0	FALSE	0.850399230853746	NA
"tmem98"	0.930318135	0	FALSE	0.849100291541531	NA
"grna.1"	0.928393237	0	FALSE	0.847343439351406	NA
"ccbe1"	0.927681683	0	FALSE	0.846694004834205	NA
"postnb_ChrAur2"	0.92530412	0	FALSE	0.844524005819343	NA
"gal"	0.923402619	0	FALSE	0.842788508044201	NA
"lamb2"	0.921299677	0	FALSE	0.840869155300105	NA
"adgrl2b.1"	0.92109022	0	FALSE	0.840677984137172	NA
"selenop"	0.918527923	0	FALSE	0.838339378613035	NA
"net1_ChrAur1"	0.918300768	0	FALSE	0.838132054505862	NA
"hmcn2"	0.918107548	0	FALSE	0.83795570283415	NA
"wnt5a"	0.917601735	0	FALSE	0.837494047890956	NA
"odc1"	0.914928263	0	FALSE	0.835053973072219	NA
"fgl1"	0.913235387	0	FALSE	0.833508887094567	NA
"cfd"	0.911365545	0	FALSE	0.831802284452304	NA
"hmgb2a"	0.910674869	0	FALSE	0.831171905261683	NA
"olfm2a"	0.90770249	0	FALSE	0.82845901836792	NA
"zgc:113531"	0.903457146	0	FALSE	0.824584297783123	NA
"net1_ChrAur2"	0.902734547	0	FALSE	0.823924782507128	NA
"eys"	0.902703894	0	FALSE	0.823896805549293	NA
"pcolcea"	0.898806827	0	FALSE	0.820339956981725	NA
"acp7"	0.898545577	0	FALSE	0.820101514407277	NA
"vegfc"	0.896967612	0	FALSE	0.818661307567127	NA
"inhbaa_ChrAur1"	0.89575298	0	FALSE	0.817552714338086	NA
"c1qc"	0.894067681	0	FALSE	0.816014543879617	NA
"agr2"	0.891526169	3	FALSE	0.813694908801068	NA
"ccn1"	0.890333709	1	FALSE	0.812606551930919	NA
"fgf17"	0.890063945	0	FALSE	0.812360338638465	NA
"adamtsl3"	0.886163424	0	FALSE	0.808800337609071	NA
"sema3aa"	0.885906758	0	FALSE	0.80856607884615	NA
"eda"	0.88500452	0	FALSE	0.807742607261518	NA
"tgm8_ChrAur2"	0.881522477	0	FALSE	0.804564550621291	NA
"lft1"	0.878169147	0	FALSE	0.801503970188088	NA
"prss59.1_ChrAur3"	0.878169147	0	FALSE	0.801503970188088	NA
"sst1.2"	0.878169147	0	FALSE	0.801503970188088	NA
"c5"	0.87457814	0	FALSE	0.798226462230418	NA
