"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"dre04144","Endocytosis",27,-0.421545774611603,-2.32520547246058,0.000241113968179074,0.0122968123771328,0.010913579612316,260,"tags=48%, list=13%, signal=42%","335474/114447/336426/798846/767670/556277/378838/561653/798901/560542/100149572/100331274/386994"
"dre04120","Ubiquitin mediated proteolysis",13,-0.542064118896606,-2.27085062410362,0.00198197411221854,0.0312694576487707,0.0277520470360607,422,"tags=69%, list=21%, signal=55%","436873/393223/406596/437020/556277/556864/393933/100331274/324243"
"dre04510","Focal adhesion",36,-0.332247915233706,-2.09401342680243,0.00146832333215791,0.0312694576487707,0.0277520470360607,383,"tags=47%, list=20%, signal=39%","394012/562529/567771/407685/449996/337158/336471/569755/403049/569510/378480/57935/325675/574422/569698/564005/406493"
"dre04820","Cytoskeleton in muscle cells",56,-0.270741184984664,-2.03961876580908,0.00245250648225653,0.0312694576487707,0.0277520470360607,345,"tags=38%, list=18%, signal=32%","567771/406437/796761/407685/399646/337158/336471/641583/554168/569755/57935/325675/30324/795335/791132/554148/768287/564005/406493/415209/541446"
"dre05132","Salmonella infection",25,-0.379347439611562,-2.03798884362138,0.00350869593557303,0.0357886985428449,0.0317629316272927,366,"tags=56%, list=19%, signal=46%","569394/562529/403125/799355/394163/335474/406276/100004555/553634/57935/751756/394198/569698/406493"
