"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"dre04020","Calcium signaling pathway",15,-0.540119687459183,-1.99126417823602,0.00395158269651936,0.0158063307860774,0.00831912146635654,45,"tags=60%, list=20%, signal=51%","569382/556431/550436/100149100/797199/110438919/493613/553978/393953"
"dre04082","Neuroactive ligand signaling",13,-0.523482100130653,-1.84259393135581,0.0101609283203671,0.0203218566407342,0.010695714021439,33,"tags=85%, list=15%, signal=77%","266751/352938/735302/795293/100149100/336252/170450/110438919/493613/553978/393953"
