"","JM","JF"
"MEblack",0.0751727476479654,0.0751727476479654
"MEblue",1.14700526258502e-07,1.14700526258502e-07
"MEgreen",0.643253692258728,0.643253692258728
"MEturquoise",1.95331916322542e-07,1.95331916322542e-07
"MEred",0.117919565994735,0.117919565994735
"MEbrown",0.000429052824579247,0.000429052824579247
"MEyellow",0.579477346099441,0.579477346099441
"MEgrey",0.403294393533295,0.403294393533295
