,MEblack,MEblack_p,MEblue,MEblue_p,MEgreen,MEgreen_p,MEturquoise,MEturquoise_p,MEred,MEred_p,MEbrown,MEbrown_p,MEyellow,MEyellow_p,MEgrey,MEgrey_p,module_colors
42sp43,-0.448100217,0.041631531,-0.319792576,0.15760614,0.834390681,2.58E-06,0.412596438,0.06305841,0.154745391,0.503009206,0.432450204,0.050240152,0.545297761,0.010570532,0.530044753,0.013453873,green
gnl3,-0.470075694,0.031530221,-0.952687606,2.81E-11,0.530452755,0.013369223,0.995331211,9.25E-21,-0.163879481,0.477811975,-0.446463407,0.042474069,0.04587805,0.843460249,0.130654568,0.57241317,turquoise
npm3,-0.443889313,0.04382577,-0.933604987,6.52E-10,0.533353057,0.012779855,0.993794997,1.37E-19,-0.124329942,0.591298946,-0.439686505,0.046104106,0.02051987,0.929650381,0.156452325,0.498252059,turquoise
marcksa_ChrAur2,-0.4705854,0.031321294,-0.946142355,9.39E-11,0.48777339,0.024890481,0.993644096,1.72E-19,-0.105641937,0.648571601,-0.451947653,0.039702213,0.028110221,0.903728517,0.16928339,0.463209624,turquoise
med4,-0.507210965,0.018931569,-0.955454733,1.60E-11,0.469938053,0.031586828,0.992676203,6.60E-19,-0.11198989,0.628881093,-0.444065807,0.043732039,0.059318975,0.798404135,0.171694434,0.456769118,turquoise
g18141,-0.223279111,0.33060458,0.468997806,0.031975656,0.264718426,0.24619341,-0.496775016,0.021968935,0.545158401,0.010594378,0.986791819,1.75E-16,0.665967744,0.000981976,0.600148121,0.00402448,brown
gtf2f1,-0.450775223,0.040282604,-0.957592698,1.01E-11,0.47407715,0.029919182,0.992394417,9.43E-19,-0.147623628,0.523092144,-0.490651609,0.023924619,0.005131803,0.982386622,0.106076756,0.647215436,turquoise
ranbp1,-0.509342073,0.018354889,-0.95675121,1.22E-11,0.499543271,0.021127777,0.992334996,1.02E-18,-0.170381495,0.460270561,-0.445996465,0.042716834,0.080685901,0.728083569,0.117092679,0.61322605,turquoise
riox1,-0.466995886,0.032816066,-0.929472253,1.14E-09,0.545547546,0.010527899,0.992006271,1.51E-18,-0.086148631,0.710413851,-0.411777552,0.063635769,0.046520584,0.841294476,0.203021041,0.377434134,turquoise
irf6,-0.456160114,0.037670473,-0.94058078,2.34E-10,0.467039239,0.032797685,0.991631497,2.33E-18,-0.124006872,0.592270672,-0.477331827,0.028657299,0.002577965,0.991151414,0.142709132,0.537167373,turquoise
aak1b,0.323822236,0.15214469,0.928633885,1.27E-09,-0.28642637,0.208112167,-0.922977091,2.56E-09,0.321914544,0.15471347,0.657967949,0.001186382,0.154179502,0.504591162,0.129201532,0.576728676,blue
egln1a,-0.499623699,0.021103729,-0.961538582,4.07E-12,0.509900724,0.018206075,0.991593696,2.43E-18,-0.170580296,0.459739499,-0.441355154,0.04518883,0.077413681,0.738732463,0.111596126,0.630095641,turquoise
siva1,-0.441006933,0.045378663,-0.929739618,1.10E-09,0.544818224,0.010652772,0.991308633,3.34E-18,-0.065210173,0.778840061,-0.415244118,0.061218825,0.016502576,0.9433993,0.213259787,0.353315729,turquoise
aar2,-0.468988349,0.031979586,-0.666688474,0.000965127,0.458412574,0.036617903,0.650126879,0.001420598,-0.043573247,0.85123785,-0.098902374,0.669726451,0.27250826,0.232045728,0.232440764,0.310617201,blue
znf451,-0.487994876,0.024815073,-0.952612353,2.85E-11,0.434571711,0.048999099,0.991239877,3.60E-18,-0.126349897,0.585238682,-0.485797083,0.025571435,0.025060401,0.914134099,0.132953621,0.565613947,turquoise
pdha1a_ChrAur2,-0.438372289,0.046835003,-0.948181773,6.56E-11,0.475238344,0.02946404,0.991031215,4.49E-18,-0.119426881,0.606117995,-0.490231311,0.02406377,-0.009210816,0.968391871,0.130406316,0.573149476,turquoise
aarsd1,-0.067846263,0.770126645,-0.10449684,0.65214818,0.235113973,0.304926472,0.261935564,0.25137922,-0.071318368,0.758690546,-0.095367456,0.680920463,-0.033009664,0.887044699,-0.031560191,0.891976039,grey
g21959,-0.45415017,0.038629524,-0.956762205,1.21E-11,0.500449664,0.020858027,0.99096808,4.80E-18,-0.13339924,0.564300208,-0.463175061,0.034468153,0.018789453,0.935570475,0.131427943,0.570122015,turquoise
aasdhppt,0.27282209,0.231487115,0.429930527,0.051745381,0.34931324,0.120638734,-0.259230594,0.256486445,0.104058626,0.653518842,0.386357854,0.083627791,0.029546894,0.898831931,0.168847437,0.464379103,grey
aass,-0.032056095,0.890288454,-0.204786326,0.373210784,-0.275650831,0.22649157,0.139605944,0.546144009,-0.616510792,0.002916595,-0.468392149,0.032228105,-0.140377769,0.543904976,-0.617541085,0.002856394,grey
akirin2_ChrAur1,-0.426260162,0.05399969,-0.947270583,7.71E-11,0.474110258,0.029906129,0.9908812,5.26E-18,-0.113332153,0.624747878,-0.483632498,0.026334142,-0.027390069,0.906184273,0.140236281,0.544315113,turquoise
bccip,-0.401939898,0.07088915,-0.929727032,1.10E-09,0.544649637,0.010681808,0.990843567,5.47E-18,-0.150462266,0.515042316,-0.469813499,0.031638121,-0.019554618,0.932952274,0.125705346,0.587169581,turquoise
aatkb,0.559229289,0.008397928,0.94479942,1.18E-10,-0.44388875,0.04382607,-0.911093916,9.55E-09,-0.13409107,0.56226329,0.267824927,0.24048644,-0.146123958,0.527368719,-0.344929844,0.125690643,blue
abat,0.473027109,0.030335515,0.933020042,7.07E-10,-0.324395679,0.151378389,-0.878656703,1.61E-07,0.000301153,0.998966307,0.395296722,0.076127933,-0.034273639,0.882747725,-0.167906734,0.466907751,blue
slc4a5b,-0.205641428,0.371174702,0.423439654,0.055782549,0.355946419,0.113273896,-0.424466508,0.055128335,0.574538372,0.006447399,0.96811699,7.03E-13,0.62949825,0.002230434,0.641998223,0.001703498,brown
thumpd1,-0.44597248,0.042729333,-0.945079879,1.13E-10,0.527905478,0.013904853,0.990696844,6.35E-18,-0.099497975,0.667846903,-0.446433324,0.042489677,0.021044791,0.927855216,0.164043115,0.47736644,turquoise
g7229,-0.466442895,0.033051245,-0.950314268,4.44E-11,0.432044414,0.050480263,0.990650069,6.66E-18,-0.236067249,0.302912615,-0.525679661,0.014386993,0.013190972,0.95474487,0.035722533,0.877826009,turquoise
spout1,-0.485190116,0.025783513,-0.934053257,6.13E-10,0.590210263,0.004854049,0.990531546,7.51E-18,-0.101974285,0.660052971,-0.374489027,0.09441733,0.090300796,0.697077735,0.208627339,0.364114775,turquoise
abca5,-0.591877561,0.004705737,-0.442928697,0.044338659,-0.317225179,0.161156051,0.352722481,0.116811678,-0.305222699,0.178487015,-0.360403596,0.108511357,0.280439895,0.218196211,-0.246521554,0.281362162,blue
ankmy2a,-0.439180501,0.046384468,-0.929119746,1.19E-09,0.51877078,0.015970333,0.990511248,7.66E-18,-0.155994072,0.499527028,-0.462334662,0.034840129,0.013449793,0.953857819,0.132251201,0.5676875,turquoise
vmp1,-0.443002108,0.044299301,-0.932653997,7.44E-10,0.482039949,0.026906717,0.990497639,7.76E-18,-0.120996361,0.60135779,-0.471568197,0.030921527,-0.005251764,0.981974957,0.151443298,0.512274114,turquoise
mrps31,-0.484742352,0.025940856,-0.928615838,1.27E-09,0.567567529,0.007283161,0.990429407,8.31E-18,-0.123972013,0.592375561,-0.390452536,0.080127005,0.080275087,0.729417897,0.184735158,0.422749215,turquoise
abcb4,-0.357925281,0.111141155,0.020239888,0.930608019,0.379318822,0.089909736,-0.047581796,0.837719889,0.26439313,0.246796011,0.535116106,0.012432016,0.578649372,0.00599277,0.443087757,0.044253415,grey
pou5f3,-0.483391382,0.026420205,-0.951337858,3.65E-11,0.470718533,0.031266904,0.990083714,1.16E-17,-0.139018352,0.547851395,-0.461613621,0.035161777,0.037235515,0.872691218,0.142364462,0.53816103,turquoise
dhx40,-0.421809944,0.05683301,-0.920863742,3.29E-09,0.57030657,0.006944732,0.989755553,1.58E-17,-0.124096159,0.592002048,-0.42437526,0.055186231,0.011098469,0.961918274,0.172719696,0.454044464,turquoise
tmpob,-0.48097439,0.027295297,-0.924644583,2.10E-09,0.541401672,0.011253936,0.988951238,3.23E-17,-0.103684563,0.6546897,-0.411474361,0.063850548,0.063885625,0.78322799,0.188531531,0.41310878,turquoise
smc1b,-0.13719384,0.553168337,0.592984247,0.004609385,0.144594983,0.531745652,-0.593359243,0.004577111,0.59020553,0.004854476,0.967759183,7.80E-13,0.585713885,0.005273461,0.590272257,0.004848466,brown
abcc1,0.490159264,0.024087688,0.957469437,1.04E-11,-0.416113114,0.060624035,-0.935724892,4.83E-10,-0.003984984,0.986322331,0.404509727,0.068937118,-0.043183333,0.852554957,-0.227204684,0.321948826,blue
abcc10,-0.191825616,0.404841737,0.482795043,0.026634019,-0.029088521,0.900393819,-0.447147686,0.042120246,0.084630776,0.715309607,0.605538507,0.003626299,0.532315696,0.012988183,0.144071462,0.53324819,blue
abcc12,-0.315495641,0.163578491,-0.602172628,0.00387087,-0.284705007,0.210979371,0.455551966,0.037958669,-0.079045938,0.733414667,-0.490641975,0.023927801,-0.116844935,0.613982453,-0.102530631,0.658306545,blue
otx1_ChrAur1,-0.448279733,0.041539922,-0.936207445,4.51E-10,0.490866867,0.023853599,0.988873794,3.45E-17,-0.128817573,0.577871378,-0.455745988,0.037866538,0.007145378,0.975477344,0.145551499,0.529005495,turquoise
abcc3,0.389946053,0.080554,0.925408566,1.91E-09,-0.379658618,0.089598709,-0.921382476,3.09E-09,0.078192429,0.736193899,0.486097832,0.025466866,0.062542848,0.787682785,-0.084012406,0.717307228,blue
abcf2a,-0.485215612,0.025774576,-0.957130004,1.12E-11,0.411462114,0.063859235,0.988640386,4.20E-17,-0.198694496,0.387898843,-0.515328609,0.016810042,0.019962954,0.931555323,0.068199621,0.768960643,turquoise
lrp1bb,-0.193129643,0.401594363,0.552074533,0.009462643,0.165906974,0.472306398,-0.558115154,0.008556941,0.580192087,0.00582915,0.967514193,8.38E-13,0.626061388,0.002397229,0.591825961,0.004710269,brown
slc25a25a,-0.530689609,0.013320281,-0.945172242,1.11E-10,0.481268585,0.027187571,0.988421008,5.04E-17,-0.113201266,0.625150443,-0.419580373,0.05829451,0.09726013,0.674918732,0.175072473,0.447823873,turquoise
dhrs9,-0.424135369,0.055338661,-0.933538941,6.58E-10,0.549778534,0.009826821,0.988380827,5.20E-17,-0.136788486,0.554352755,-0.453355542,0.039013893,0.012901729,0.955736249,0.150269,0.515588498,turquoise
cnot2_ChrAur1,-0.437140964,0.04752789,-0.952327585,3.02E-11,0.482833379,0.026620232,0.988270179,5.69E-17,-0.110651529,0.633012954,-0.475950316,0.02918769,-0.007233898,0.97517364,0.14975489,0.517042751,turquoise
g7749,-0.492824832,0.02321529,-0.952483351,2.93E-11,0.487411995,0.025013914,0.988162838,6.20E-17,-0.073234947,0.752398435,-0.423991988,0.05542992,0.048073533,0.836064563,0.193515086,0.400637266,turquoise
abcc9,-0.043126281,0.852747705,0.680077422,0.000693861,-0.010436456,0.964188367,-0.632806324,0.002079206,0.283591185,0.212848531,0.719890834,0.000233806,0.480980525,0.027293047,0.270931848,0.234865012,blue
adssl,-0.451935273,0.039708308,-0.919924458,3.66E-09,0.537311593,0.012009652,0.988143579,6.30E-17,-0.133674429,0.563489593,-0.437023711,0.04759428,0.038303134,0.869070863,0.156232349,0.498863887,turquoise
abcd2,0.201249343,0.381699898,0.891352471,5.93E-08,-0.415806471,0.060833415,-0.889670318,6.82E-08,0.104924771,0.650810721,0.532108996,0.013030021,0.230833828,0.314068804,-0.046755993,0.840501261,blue
dtymk,-0.42964546,0.051917834,-0.91811648,4.50E-09,0.579942821,0.005855334,0.988073776,6.66E-17,-0.081408903,0.725737093,-0.404168892,0.069193656,0.02564645,0.912133478,0.207612105,0.366506502,turquoise
mrps2,-0.420988432,0.057368224,-0.940512798,2.36E-10,0.490586262,0.023946212,0.988006672,7.02E-17,-0.080134672,0.729874139,-0.459202218,0.036254398,-0.023766746,0.918552065,0.172537174,0.454528902,turquoise
ube2d2l_ChrAur1,-0.422151307,0.056611737,-0.922729937,2.64E-09,0.486068427,0.025477076,0.987886152,7.72E-17,-0.184391027,0.423629032,-0.504005025,0.019826391,-0.017042741,0.941549638,0.080470996,0.728781489,turquoise
abcf1,-0.55218814,0.009444914,-0.957969275,9.33E-12,0.453845934,0.038776335,0.964167948,2.10E-12,-0.168342008,0.465736846,-0.432125037,0.050432487,0.128174418,0.579787665,0.102355653,0.658855635,blue
rbm42,-0.428415199,0.052667153,-0.931723222,8.44E-10,0.461229046,0.035334279,0.987753398,8.56E-17,-0.225804208,0.325021099,-0.532033941,0.01304524,-0.014424897,0.950516341,0.04146105,0.858377203,turquoise
krr1,-0.414548759,0.061697954,-0.944042268,1.34E-10,0.469590259,0.031730218,0.987613352,9.53E-17,-0.137612822,0.5519453,-0.49811413,0.021558758,-0.033059773,0.886874292,0.103649376,0.65479988,turquoise
rbm48,-0.436078034,0.048132354,-0.926543261,1.66E-09,0.547967178,0.01012214,0.987542349,1.01E-16,-0.121561696,0.599646945,-0.431444145,0.050837067,0.019256442,0.933972477,0.155045049,0.502172482,turquoise
msh4,-0.160408497,0.487311564,0.477176551,0.02871653,0.28901069,0.203856484,-0.471249167,0.031050854,0.66581613,0.000985552,0.967065842,9.53E-13,0.577611669,0.006104949,0.68183235,0.000663672,brown
g16374,-0.473221347,0.030258159,-0.92618131,1.73E-09,0.552196162,0.009443664,0.987526022,1.02E-16,-0.134410566,0.561323716,-0.421294323,0.057168489,0.066516038,0.77452035,0.167220075,0.468757933,turquoise
kiaa1841,-0.205702991,0.371028359,0.518477632,0.016040501,0.194320119,0.398642345,-0.536455533,0.01217293,0.603517112,0.00377158,0.96643236,1.14E-12,0.648002607,0.001490387,0.609112259,0.003380862,brown
abch1,0.444468871,0.043518566,0.956458942,1.30E-11,-0.250335637,0.273744289,-0.938331061,3.30E-10,0.152923316,0.508111446,0.584748714,0.005367293,0.065124774,0.779122774,-0.032430719,0.889013892,blue
zgc:113436,-0.542178478,0.011114882,-0.941049371,2.17E-10,0.573242024,0.006596523,0.987308902,1.20E-16,-0.084571054,0.715502458,-0.339140958,0.132591878,0.142244138,0.538508117,0.227818109,0.320608636,turquoise
smarcal1,-0.506722769,0.019065699,-0.948880084,5.78E-11,0.461319626,0.035293589,0.987251727,1.25E-16,-0.078114204,0.73644878,-0.432142881,0.050421918,0.055032664,0.81271269,0.18851432,0.413152214,turquoise
abhd12,0.114125325,0.622310548,-0.261782505,0.251666456,0.794391237,1.70E-05,0.423124687,0.055984401,0.06037015,0.794904398,0.028577136,0.902136762,-0.062793844,0.786849591,0.247168696,0.280060413,green
rbm19,-0.455896227,0.037795316,-0.941957596,1.88E-10,0.46976963,0.031656202,0.987249583,1.25E-16,-0.13387283,0.56290549,-0.479380885,0.027884678,0.014123315,0.951549714,0.129918947,0.574596199,turquoise
g10324,-0.499650838,0.021095619,-0.931965496,8.17E-10,0.579532608,0.005898637,0.987225254,1.28E-16,-0.137984982,0.550859962,-0.371281253,0.09750162,0.106451949,0.646046106,0.172803264,0.453822752,turquoise
abhd14b,0.346270078,0.124130227,0.699321606,0.000418965,-0.351832018,0.11780271,-0.616129966,0.002939114,-0.132188206,0.567873624,0.12898415,0.577375506,-0.095699669,0.679865649,-0.301021696,0.184842756,blue
abhd16a,0.185843424,0.419922479,0.035846644,0.877404618,-0.401918762,0.070905375,0.036477212,0.875264159,-0.036930209,0.873726984,-0.42787747,0.052997263,-0.424948979,0.054822985,-0.243816032,0.28684518,grey
abhd17ab,-0.138408577,0.549625801,0.508445071,0.018595874,-0.030839785,0.894428415,-0.502060085,0.020385551,-0.137756632,0.551525789,0.523444518,0.014884674,0.518595814,0.016012183,-0.023924742,0.918012366,blue
pelp1,-0.507957469,0.018727933,-0.954332857,2.02E-11,0.495701836,0.02230213,0.987092063,1.41E-16,-0.149040304,0.519067324,-0.437673777,0.047227103,0.07373916,0.7507456,0.131611473,0.569578889,turquoise
abhd18,0.365011319,0.103742619,0.889428029,6.95E-08,-0.392200164,0.078666609,-0.931690186,8.48E-10,0.096044911,0.678770075,0.504428488,0.019706291,0.094253545,0.684461432,-0.087095914,0.707363981,blue
sdad1,-0.401117733,0.071522362,-0.928198636,1.34E-09,0.435086251,0.048701689,0.987064801,1.43E-16,-0.218343466,0.341681584,-0.558720575,0.00847023,-0.054998834,0.812825858,0.030666236,0.895019344,turquoise
abhd4,0.251424618,0.271593265,0.426990152,0.053545451,0.445928941,0.042752029,-0.278243584,0.221975279,0.049714285,0.830546182,0.44260057,0.044514913,0.119587673,0.605629605,0.076873734,0.740494121,grey
haus8,-0.547040824,0.010275948,-0.956786817,1.21E-11,0.471435281,0.030975356,0.987026539,1.48E-16,-0.118523886,0.608863758,-0.416270997,0.060516445,0.10182391,0.660525306,0.167153008,0.468938843,turquoise
rpp25l,-0.502580684,0.02023466,-0.939637964,2.70E-10,0.517345186,0.0163139,0.987020965,1.48E-16,-0.039870995,0.863758745,-0.382815356,0.086747126,0.07050542,0.761363908,0.240778227,0.293079978,turquoise
LOC119005480,-0.142816318,0.536858536,0.588266085,0.005031867,0.165529027,0.473330259,-0.590306622,0.004845373,0.561104892,0.008135714,0.965836492,1.34E-12,0.600530478,0.003995087,0.582784909,0.005562481,brown
zte38,-0.167656305,0.467582091,0.461289529,0.035307105,0.306671253,0.176330538,-0.459316786,0.036201893,0.679769261,0.000699281,0.965242551,1.58E-12,0.593364691,0.004576643,0.698942975,0.0004233,brown
abi1a,0.590606768,0.004818432,0.244791035,0.284861655,0.296283429,0.19219383,-0.080140013,0.729856782,-0.328916958,0.145430933,-0.188487437,0.413220061,-0.401724505,0.071054631,-0.345038398,0.125563735,grey
abi1b,0.282926072,0.21396991,0.896344042,3.87E-08,-0.217941026,0.342594278,-0.892740687,5.28E-08,0.104079773,0.653452674,0.619837335,0.002725954,0.229182125,0.317640604,-0.033224995,0.88631245,blue
abi3a_ChrAur1,0.514520634,0.017012208,0.846957379,1.28E-06,-0.154079932,0.504869762,-0.780339191,3.01E-05,0.238851965,0.297076367,0.462024799,0.034978072,-0.060625773,0.794053905,0.046647219,0.840867758,blue
ppil2,-0.441501604,0.045109176,-0.940322261,2.43E-10,0.46546015,0.033472456,0.986979874,1.53E-16,-0.116381096,0.615399643,-0.483096693,0.026525693,-0.014526889,0.95016688,0.134499725,0.561061641,turquoise
prdm4,-0.381119581,0.088270487,-0.922788483,2.62E-09,0.471865104,0.030801549,0.986883194,1.64E-16,-0.176988041,0.442792284,-0.533301118,0.012790221,-0.066831613,0.773477406,0.079907822,0.730611416,turquoise
vps72a,-0.466510919,0.033022244,-0.942856437,1.63E-10,0.516349766,0.016557309,0.986633756,1.96E-16,-0.063494835,0.784523807,-0.410115151,0.064820169,0.0335397,0.885242425,0.206873836,0.368251381,turquoise
atp6v1aa,-0.402944777,0.070120957,-0.936858548,4.10E-10,0.520098433,0.015655641,0.986584837,2.02E-16,-0.150265427,0.5155986,-0.471624416,0.030898781,-0.02648848,0.909259898,0.115676826,0.617553957,turquoise
exosc2,-0.391798258,0.079000686,-0.917128256,5.02E-09,0.527570616,0.01397654,0.986536296,2.09E-16,-0.14390976,0.533712682,-0.479950796,0.027672743,-0.030457229,0.895731076,0.126155329,0.585821269,turquoise
ablim1a,0.537130944,0.012043959,0.958176045,8.91E-12,-0.49887846,0.021327397,-0.953741994,2.28E-11,0.077543765,0.738308232,0.357469605,0.111629666,-0.135623559,0.557762918,-0.212917887,0.354106336,blue
mettl1,-0.536461834,0.012171721,-0.946892005,8.24E-11,0.545314965,0.010567591,0.986421527,2.27E-16,-0.092514848,0.690001242,-0.362650949,0.106165981,0.125596591,0.587495647,0.210427523,0.359895934,turquoise
csnk2a2b_ChrAur2,-0.412615167,0.063045251,-0.922368565,2.76E-09,0.541707344,0.011199051,0.98620307,2.64E-16,-0.112637786,0.626884691,-0.445686537,0.042878561,-0.007776638,0.9733116,0.162647877,0.481172008,turquoise
abr,0.379326611,0.089902598,0.924543675,2.12E-09,-0.198219675,0.389057098,-0.852054129,9.50E-07,0.122137382,0.597906858,0.545125672,0.010599985,0.102962729,0.656951328,-0.00993071,0.965922787,blue
senp6a,-0.451749502,0.039799845,-0.938105901,3.41E-10,0.471553119,0.030927629,0.986159584,2.72E-16,-0.105449236,0.649172962,-0.472000295,0.030747041,0.00661925,0.977282531,0.139228439,0.547240661,turquoise
mcmbp,-0.483881008,0.026245672,-0.946520924,8.79E-11,0.551513635,0.009550574,0.985892317,3.26E-16,-0.028322766,0.903003885,-0.372781784,0.096049783,0.066084478,0.77594722,0.24456891,0.285312791,turquoise
parn,-0.525717802,0.014378618,-0.956251973,1.36E-11,0.437894159,0.047103123,0.98587697,3.29E-16,-0.121818056,0.598871801,-0.451201849,0.040070651,0.073427953,0.751765631,0.1449696,0.530671691,turquoise
g10154,-0.452637126,0.039363957,-0.951795686,3.35E-11,0.428161056,0.052822973,0.985874426,3.30E-16,-0.14590309,0.527999944,-0.503965096,0.019837745,-0.009254624,0.968241609,0.108873135,0.63851961,turquoise
g10517,-0.426843528,0.053636452,-0.918909982,4.11E-09,0.583318976,0.005508826,0.985825988,3.40E-16,-0.087682432,0.705477786,-0.409316294,0.065395229,0.026826385,0.90810704,0.206227712,0.369782367,turquoise
xpo1a,-0.581163815,0.005727998,-0.970875319,3.01E-13,0.43783653,0.047135519,0.985752345,3.58E-16,-0.089299874,0.700284858,-0.409130794,0.065529312,0.128668596,0.578315013,0.183018871,0.427146892,turquoise
acaa1,0.682188734,0.00065768,0.465417506,0.033490828,-0.038701416,0.867720907,-0.397461615,0.074389856,0.020365782,0.930177405,-0.030391717,0.895954179,-0.460681025,0.03558124,-0.160450662,0.487195604,grey
cyp26a1,-0.427864951,0.053004967,-0.928722931,1.26E-09,0.528417926,0.013795725,0.985726809,3.64E-16,-0.136163332,0.556181639,-0.45355586,0.038916718,0.005589877,0.980814686,0.153650256,0.506072859,turquoise
mrpl41,-0.440688949,0.045552551,-0.932146479,7.97E-10,0.529041818,0.013663801,0.985611304,3.92E-16,-0.08036885,0.729113288,-0.429661586,0.051908067,0.011446462,0.960725093,0.188066457,0.414283306,turquoise
acacb,0.590639231,0.004815525,0.932139129,7.98E-10,-0.502969862,0.020122444,-0.939611408,2.71E-10,-0.040575736,0.86137282,0.282481428,0.214721756,-0.20349839,0.376289444,-0.323404488,0.152704637,blue
rbmx,-0.379376508,0.089856878,-0.940799806,2.26E-10,0.504541564,0.019674321,0.985542727,4.10E-16,-0.109657302,0.636089219,-0.490055862,0.024122048,-0.064483845,0.781245429,0.136741537,0.554490007,turquoise
acad8,-0.579997383,0.005849595,-0.332661184,0.140631549,0.269480176,0.237480826,0.328728674,0.145675278,-0.184939413,0.422227476,0.11757839,0.611744192,0.526647998,0.014175603,0.026704057,0.908524375,grey
acad9_ChrAur1,-0.04805851,0.836115123,-0.39621399,0.075387834,0.023153257,0.920648008,0.39767772,0.074218005,0.07419731,0.749244673,-0.342942583,0.128030134,-0.22435652,0.328215288,0.029379094,0.899403662,grey
wars2,-0.479656526,0.027782015,-0.935081199,5.30E-10,0.568135139,0.007211937,0.985460248,4.33E-16,-0.174021571,0.450596876,-0.406071881,0.067770488,0.089319986,0.700220366,0.132683193,0.566411858,turquoise
acadl,0.632459838,0.002094629,0.452814057,0.039277517,-0.568434921,0.007174552,-0.484402476,0.026060796,-0.262652808,0.250036009,-0.315498138,0.163574975,-0.59386304,0.004534046,-0.556119068,0.008848,blue
hpdl,-0.520753101,0.015502318,-0.922206255,2.81E-09,0.584188201,0.005422417,0.985428261,4.42E-16,-0.088112011,0.704097346,-0.347951211,0.122192589,0.129490449,0.575869472,0.227884721,0.320463307,turquoise
ints5,-0.50486838,0.019582151,-0.945481495,1.05E-10,0.44850454,0.041425422,0.985403967,4.49E-16,-0.128794553,0.577939919,-0.452319472,0.039519518,0.049295451,0.831954137,0.136730198,0.55452316,turquoise
aebp2_ChrAur1,-0.482401981,0.026775697,-0.922240167,2.80E-09,0.606648517,0.003548525,0.98530877,4.78E-16,-0.083314222,0.719564817,-0.348414299,0.121662679,0.09626701,0.678065607,0.225762663,0.325112505,turquoise
acadvl,0.286026308,0.208776207,0.879208997,1.55E-07,-0.456061557,0.037717062,-0.932955735,7.14E-10,0.267837162,0.240464134,0.5495262,0.009867533,0.135991905,0.556683622,0.047922614,0.836572528,blue
g16151,-0.193603384,0.400418191,0.47421123,0.029866347,0.22243036,0.332494051,-0.495420256,0.022390218,0.676308722,0.000762665,0.963139254,2.73E-12,0.605663242,0.003617489,0.688593217,0.000557589,brown
acap1,0.667175452,0.000953883,0.839478434,1.96E-06,-0.376096333,0.09289918,-0.793415726,1.78E-05,0.137367876,0.552660166,0.220737769,0.336281136,-0.315496917,0.163576695,-0.151589837,0.511861235,blue
acap2a,0.285884255,0.209012331,0.781684183,2.86E-05,-0.498805331,0.021349447,-0.757339763,7.03E-05,-0.139305051,0.547018022,0.214667618,0.350071094,0.021857669,0.925075941,-0.322466918,0.153966588,blue
ahcy,-0.523927464,0.014775979,-0.949122819,5.53E-11,0.467838575,0.032460214,0.985249819,4.96E-16,-0.143888626,0.533773403,-0.438171796,0.046947289,0.088325738,0.703410876,0.153333451,0.506960803,turquoise
acap3b_ChrAur1,0.522042198,0.015203956,0.963055822,2.79E-12,-0.406896884,0.067160416,-0.9555959,1.56E-11,0.060249111,0.795307188,0.436849227,0.047693208,-0.079417681,0.732205181,-0.167531598,0.467918083,blue
si:ch211-196i2.1,-0.236977036,0.300998223,0.503936484,0.019845885,0.252107816,0.270249213,-0.525286736,0.014473493,0.41719804,0.059887633,0.959901694,6.01E-12,0.71570964,0.00026429,0.492267236,0.023395668,brown
gps1,-0.448639348,0.041356879,-0.915386963,6.07E-09,0.591091024,0.004775226,0.985148018,5.29E-16,-0.09041996,0.69669624,-0.387937755,0.082263825,0.05065771,0.827376592,0.206331642,0.369535861,turquoise
med17,-0.493246795,0.023079527,-0.933106946,6.99E-10,0.565092532,0.007600526,0.985121303,5.38E-16,-0.20021138,0.384211591,-0.411850444,0.063584214,0.098818806,0.66999032,0.121516985,0.599782176,turquoise
acbd3,-0.800515625,1.31E-05,-0.482777577,0.026640302,-0.029662367,0.89843852,0.435305561,0.048575349,-0.128354211,0.579251694,-0.023561456,0.919253366,0.560230125,0.00825716,0.096789619,0.67640898,black
galnt6,-0.491948794,0.023499181,-0.922166992,2.82E-09,0.598851459,0.004125505,0.98510934,5.42E-16,-0.095488501,0.680536065,-0.364804824,0.103952999,0.105040003,0.65045075,0.22004271,0.337843646,turquoise
nono,-0.397640106,0.074247895,-0.927311694,1.50E-09,0.508210023,0.018659439,0.985090684,5.49E-16,-0.172113813,0.455653591,-0.496567266,0.022033124,-0.033735663,0.884576233,0.087057708,0.707486904,turquoise
acbd5b,-0.153793804,0.505670769,-0.284361579,0.211554529,0.832819266,2.80E-06,0.450740617,0.040299834,0.033693501,0.884719562,0.160624977,0.486716364,0.226033525,0.324516842,0.380838126,0.08852523,green
atxn7l2a,-0.416816011,0.060146157,-0.90864976,1.22E-08,0.604275759,0.003716496,0.985063024,5.59E-16,-0.150703523,0.514360895,-0.419742889,0.058187021,0.031591437,0.891869693,0.147550498,0.523300308,turquoise
acbd7,0.59224763,0.004673333,0.335668461,0.136858616,0.000917363,0.996851199,-0.224997224,0.326799335,0.048328468,0.835206642,-0.112190696,0.628262068,-0.457691631,0.036952265,-0.143150966,0.535894839,grey
prpf31,-0.400438033,0.072049056,-0.928041553,1.37E-09,0.491505783,0.023643792,0.984913284,6.14E-16,-0.215854683,0.347348801,-0.525541891,0.014417274,-0.028457977,0.90254295,0.04877069,0.833718876,turquoise
