,MEblack,MEblack_p,MEblue,MEblue_p,MEgreen,MEgreen_p,MEturquoise,MEturquoise_p,MEred,MEred_p,MEbrown,MEbrown_p,MEyellow,MEyellow_p,MEgrey,MEgrey_p,module_colors
nr5a1b,0.425910382,0.054218385,0.973713882,1.15E-13,-0.364581656,0.104180716,-0.948613817,6.07E-11,0.147868217,0.52239621,0.52565521,0.014392363,0.031663245,0.891625304,-0.075466659,0.745090774,blue
vegfba,-0.230598784,0.3145756,0.391406335,0.079327483,-0.226308031,0.323913833,-0.508231407,0.018653649,0.621287692,0.002646166,0.703787008,0.00037064,0.47941466,0.027872083,0.533476946,0.012755157,turquoise
ttbk2b,0.218725409,0.340816698,0.55893119,0.008440234,0.04456343,0.847894789,-0.50885414,0.018485662,0.555365366,0.008959989,0.565747827,0.007515413,0.114737259,0.62043274,0.418393966,0.059083799,turquoise
nradd,0.474329726,0.029819714,0.976096259,4.70E-14,-0.39178679,0.079010233,-0.947312213,7.65E-11,0.044909929,0.846725526,0.451168272,0.040087301,-0.019453497,0.933298248,-0.173893582,0.450935209,blue
lgals3a,0.186105592,0.419255293,0.430192288,0.051587415,-0.790882312,1.97E-05,-0.508878345,0.018479157,-0.091144346,0.694378709,-0.155832975,0.499975615,-0.187154061,0.416592788,-0.417687357,0.059557741,turquoise
g14590,0.057569215,0.80423794,0.335508869,0.137057019,-0.329947984,0.144098025,-0.509220083,0.018387514,0.238421813,0.297973344,0.391991545,0.078839887,0.122910742,0.595572599,0.020103239,0.931075442,turquoise
nrbp1_ChrAur1,-0.660156348,0.001127181,-0.671131884,0.000866576,-0.270653335,0.235365415,0.522348093,0.015133842,-0.287075073,0.207038411,-0.419875568,0.05809938,0.242204228,0.29014293,-0.196586768,0.393055052,blue
nme7,0.332103973,0.14133861,0.493250207,0.023078431,-0.099515115,0.667792842,-0.509377899,0.018345316,0.82291711,4.65E-06,0.519660234,0.015758948,-0.118775907,0.608096921,0.579939499,0.005855684,turquoise
nrbp2a,0.392014336,0.078820943,0.949810699,4.87E-11,-0.509632991,0.018277273,-0.96174694,3.87E-12,0.065719812,0.777153458,0.443606086,0.04397651,0.021397075,0.926650637,-0.174234208,0.450035074,blue
spmap2,0.145122364,0.530234032,0.431646448,0.050716601,0.093390102,0.687210593,-0.405509209,0.068188966,0.856552731,7.21E-07,0.644503584,0.001611649,0.110667913,0.632962309,0.71137178,0.000299461,brown
LOC119018969,0.568251186,0.007197446,0.547008708,0.010281315,-0.051218316,0.825494366,-0.509866256,0.018215229,0.122274424,0.597492939,0.225283239,0.326168421,-0.313083901,0.166998339,-0.099608092,0.667499612,turquoise
fbxo33,0.099686423,0.667252611,0.509397221,0.018340155,-0.209464737,0.362148763,-0.510321677,0.018094583,0.681856664,0.000663262,0.490030331,0.024130538,0.122690273,0.596237658,0.471637461,0.030893505,turquoise
nrd1b,-0.093502113,0.686853738,-0.22713015,0.322111893,0.807198016,9.76E-06,0.36319998,0.105598655,-0.086956991,0.707810987,0.153702309,0.505927037,0.211743706,0.356829303,0.187972502,0.414520807,green
mthfs,0.037532819,0.871682796,0.366743791,0.10198977,-0.457844756,0.036881049,-0.511078375,0.017895547,0.251619839,0.27120878,0.253708676,0.267116282,0.096540269,0.67719922,0.034134384,0.883220979,turquoise
wu:fc17b08_ChrAur1,0.02329184,0.920174503,0.436029828,0.048159908,-0.468579665,0.032149778,-0.511200049,0.017863707,-0.283036596,0.213783296,0.08927011,0.700380301,0.180787707,0.432900255,-0.401642663,0.071117584,turquoise
g16722,-0.235392314,0.304337618,0.35406195,0.115332271,-0.186349911,0.418634043,-0.51127022,0.017845366,0.296537968,0.191793991,0.671262931,0.000863804,0.492240004,0.023404506,0.192930667,0.402088936,turquoise
cetn4,0.411084281,0.064127688,0.512305395,0.017576543,-0.131516734,0.569859223,-0.511421349,0.017805915,0.699439808,0.00041762,0.417325643,0.059801471,-0.197622978,0.390515386,0.46296645,0.034560196,turquoise
edn1,0.412324052,0.063250014,0.610384028,0.003296937,0.301527355,0.184069711,-0.512115977,0.017625488,0.343309504,0.127595856,0.552177396,0.00944659,0.038134706,0.869641847,0.248173448,0.278046776,turquoise
nrip1b,0.467683913,0.032525297,0.971374628,2.56E-13,-0.264552099,0.246501406,-0.906010215,1.59E-08,0.07021422,0.762322153,0.491937392,0.023502894,0.022825682,0.921767352,-0.120903039,0.601640401,blue
nrip2,0.543445689,0.01089105,0.920479593,3.44E-09,-0.321061789,0.155871463,-0.847891188,1.22E-06,-0.107583088,0.642525648,0.323974263,0.15194127,-0.1228928,0.59562671,-0.250088775,0.274233389,blue
